,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
94,94,2018-02,44626.0,7.9,4.3,5.5,5.7,8.5,9.1,10.7,10.3,49655.1,-6.8,4.6,8.7,6.1,11.5,305.4,0.4,-5.0,441.8,100,2018-04-27,3771.04,3756.88,3776.98,3714.64,8953172600.0,142113627600.0,0.0121111134771405,-0.06367517727476,-0.1605214965609761,0.0416116564809097,3.7
95,95,2018-03,100763.0,7.5,3.8,4.5,2.8,6.8,8.2,11.4,10.7,75624.8,-14.4,-3.1,13.1,3.1,-2.0,270.2,0.9,-2.6,713.1,101,2018-05-31,3749.3,3802.38,3804.79,3742.53,9266689400.0,130545422180.0,-0.0766362120566592,-0.1230492481025042,-0.1656041742277205,-0.0453899925835924,3.1
96,96,2018-04,154358.0,7.0,4.8,4.7,5.4,9.7,8.6,13.2,11.4,104937.3,-6.4,-4.2,18.7,6.3,12.0,245.0,10.8,0.4,958.3,102,2018-06-29,3431.96,3510.98,3512.38,3425.22,7725703100.0,97616367299.0,0.0019026026921258,-0.020541273376664,-0.1425043719987011,0.0896074600254059,3.4
97,97,2018-05,216043.0,6.1,5.2,4.2,2.5,6.6,8.2,9.6,11.0,127842.6,-14.8,-9.5,23.2,5.5,6.1,238.8,9.5,2.0,1199.3,103,2018-07-31,3510.47,3517.66,3528.15,3493.15,6798081700.0,80022152109.0,-0.0520687047639624,-0.1034323953992141,-0.0898409738291932,0.0903157212465104,4.1
98,98,2018-06,297316.0,6.0,6.8,3.7,1.4,6.8,7.9,11.5,11.1,162026.8,-4.8,-8.2,26.1,6.1,-2.1,233.9,5.3,3.5,1430.1,104,2018-08-31,3333.38,3334.5,3356.58,3310.87,7620563000.0,96091892858.0,0.0312970460338881,-0.0485260158944369,0.1004258509521667,0.1394781826360773,4.7
99,99,2018-07,355798.0,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,169090.2,-8.6,-2.7,30.0,7.1,2.4,206.4,-0.5,3.2,1637.7,105,2018-09-28,3409.96,3438.86,3444.99,3404.7,8437775600.0,94880274571.6,-0.0828879337920124,-0.1245209168154563,0.1260534014179117,0.1092425978376554,4.6
100,100,2018-08,415158.0,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,186794.0,-10.3,-6.7,33.9,5.0,-2.3,203.2,-4.4,2.2,1840.8,106,2018-10-31,3116.66,3153.82,3168.92,3106.03,11120745500.0,117099697835.9,0.0059832203486565,0.0151593940047307,0.2407841918689082,0.232394366197183,4.1
101,101,2018-09,483442.0,5.4,8.7,3.7,3.7,6.1,7.4,9.7,10.8,211854.5,-16.2,-8.2,38.4,4.6,0.0,242.6,-10.6,0.6,2084.2,107,2018-11-30,3136.2,3172.69,3175.15,3132.42,7092104400.0,77297697684.1,-0.0510733793720785,0.1565485439800296,0.1440733257897872,0.2067583028912374,3.6
102,102,2018-10,547567.0,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,235678.2,-13.1,-8.7,41.0,0.7,-9.8,237.0,-9.2,-0.4,2322.6,108,2018-12-28,2994.8,3010.65,3024.35,2984.82,7105377900.0,78145310042.0,0.0634348064371481,0.2862139405111852,0.2706857323169416,0.3606961951737997,3.3
103,103,2018-11,609267.0,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,260021.8,-9.4,-9.0,44.8,0.2,-15.6,258.2,-16.7,-2.3,2582.0,109,2019-01-31,3182.7,3201.63,3216.07,3178.01,8624783900.0,97509924771.0,0.1460943331990267,0.2222555385850331,0.1979397994146732,0.2505817349287706,2.7
104,104,2018-12,635636.0,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,322293.4,0.3,-14.7,48.9,0.4,-17.4,252.6,-14.9,-3.8,2796.8,110,2019-02-28,3675.26,3669.37,3695.46,3650.05,18481022000.0,206010958184.6,0.0553146725459685,-0.0107865927938582,0.0354883808392176,0.0737674314664371,0.9
105,105,2019-02,44849.0,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,36843.4,0.3,0.9,8.2,0.0,-17.4,252.6,-14.9,-15.1,372.0,112,2019-04-30,3887.18,3913.21,3923.11,3885.15,11623337600.0,161665923923.7,-0.0724264734067428,-0.01989415339325,-0.0067617122515786,-0.000160993148847,0.1
