id,stat_month,area_code,area_name,cpi_month,yoy,mom,acc
322,2010-06,701001,全国,102.9,0.029,-0.006,102.6
323,2010-06,701002,城市,102.8,0.028,-0.006,102.5
324,2010-06,701003,农村,103.2,0.032,-0.005,102.8
325,2010-05,701001,全国,103.1,0.031,-0.001,102.5
326,2010-05,701002,城市,102.9,0.029,-0.001,102.4
327,2010-05,701003,农村,103.3,0.033,0.0,102.7
328,2010-04,701001,全国,102.8,0.028,0.002,102.4
329,2010-04,701002,城市,102.7,0.027,0.002,102.2
330,2010-04,701003,农村,103,0.03,0.002,102.6
331,2010-03,701001,全国,102.4,0.024,-0.007,102.2
332,2010-03,701002,城市,102.3,0.023,-0.007,102.1
333,2010-03,701003,农村,102.6,0.026,-0.006,102.4
334,2010-02,701001,全国,102.7,0.027,0.012,102.1
335,2010-02,701002,城市,102.6,0.026,0.012,102.0
336,2010-02,701003,农村,102.9,0.029,0.011,102.4
337,2010-01,701001,全国,101.5,0.015,0.006,101.5
338,2010-01,701002,城市,101.4,0.014,0.006,101.4
339,2010-01,701003,农村,101.8,0.018,0.006,101.8
340,2009-12,701001,全国,101.9,0.019,0.01,99.3
341,2009-12,701002,城市,101.8,0.018,0.01,99.1
342,2009-12,701003,农村,102.1,0.021,0.011,99.7
343,2009-11,701001,全国,100.6,0.006,0.003,99.1
344,2009-11,701002,城市,100.4,0.004,0.003,98.9
345,2009-11,701003,农村,100.9,0.009,0.004,99.5
346,2009-10,701001,全国,99.5,-0.005,-0.001,98.9
347,2009-10,701002,城市,99.3,-0.007,-0.001,98.8
348,2009-10,701003,农村,99.9,-0.001,-0.001,99.3
349,2009-09,701001,全国,99.2,-0.008,0.004,98.9
350,2009-09,701002,城市,99.1,-0.009,0.004,98.7
351,2009-09,701003,农村,99.4,-0.006,0.006,99.3
352,2009-08,701001,全国,98.8,-0.012,0.005,98.8
353,2009-08,701002,城市,98.7,-0.013,0.004,98.7
354,2009-08,701003,农村,99,-0.01,0.006,99.2
355,2009-07,701001,全国,98.2,-0.018,0.0,98.8
356,2009-07,701002,城市,98.1,-0.019,0.0,98.6
357,2009-07,701003,农村,98.4,-0.016,0.001,99.3
358,2009-06,701001,全国,98.3,-0.017,-0.005,98.9
359,2009-06,701002,城市,98.2,-0.018,-0.005,98.7
360,2009-06,701003,农村,98.6,-0.014,-0.004,99.4
361,2009-05,701001,全国,98.6,-0.014,-0.003,99.1
362,2009-05,701002,城市,98.5,-0.015,-0.003,98.8
363,2009-05,701003,农村,99,-0.01,-0.003,99.6
364,2009-04,701001,全国,98.5,-0.015,-0.002,99.2
365,2009-04,701002,城市,98.3,-0.017,-0.002,98.9
366,2009-04,701003,农村,99,-0.01,-0.002,99.7
367,2009-03,701001,全国,98.8,-0.012,-0.003,99.4
368,2009-03,701002,城市,98.6,-0.014,-0.003,99.2
369,2009-03,701003,农村,99.3,-0.007,-0.004,100.0
370,2009-02,701001,全国,98.4,-0.016,0.0,99.7
371,2009-02,701002,城市,98.1,-0.019,0.0,99.4
372,2009-02,701003,农村,99.2,-0.008,0.0,100.3
373,2009-01,701001,全国,101,0.01,0.009,101.0
374,2009-01,701002,城市,100.7,0.007,0.01,100.7
375,2009-01,701003,农村,101.5,0.015,0.009,101.5
376,2008-12,701001,全国,101.2,0.012,-0.002,105.9
377,2008-12,701002,城市,100.9,0.009,-0.003,105.6
378,2008-12,701003,农村,101.9,0.019,-0.001,106.5
379,2008-11,701001,全国,102.4,0.024,-0.008,106.3
380,2008-11,701002,城市,102.2,0.022,-0.008,106.0
381,2008-11,701003,农村,102.9,0.029,-0.007,106.9
382,2008-10,701001,全国,104,0.04,-0.003,106.7
383,2008-10,701002,城市,103.7,0.037,-0.003,106.4
384,2008-10,701003,农村,104.6,0.046,-0.005,107.3
385,2008-09,701001,全国,104.6,0.046,0.0,107.0
386,2008-09,701002,城市,104.4,0.044,0.0,106.7
387,2008-09,701003,农村,105.3,0.053,0.001,107.7
388,2008-08,701001,全国,104.9,0.049,-0.001,107.3
389,2008-08,701002,城市,104.7,0.047,-0.002,107.0
390,2008-08,701003,农村,105.4,0.054,0.0,108.0
391,2008-07,701001,全国,106.3,0.063,0.001,107.7
392,2008-07,701002,城市,106.1,0.061,0.001,107.4
393,2008-07,701003,农村,106.8,0.068,0.002,108.3
394,2008-06,701001,全国,107.1,0.071,-0.002,107.9
395,2008-06,701002,城市,106.8,0.068,-0.002,107.6
396,2008-06,701003,农村,107.8,0.078,0.0,108.6
397,2008-05,701001,全国,107.7,0.077,-0.004,108.1
