id,day,currency_id,market_id,term_id,interest_rate,currency_name
898522,2018-06-01,1,5,20,2.801,人民币
898523,2018-05-31,1,5,20,2.831,人民币
898524,2018-05-30,1,5,20,2.884,人民币
898525,2018-05-29,1,5,20,2.742,人民币
898526,2018-05-28,1,5,20,2.533,人民币
898527,2018-05-25,1,5,20,2.528,人民币
898528,2018-05-24,1,5,20,2.53,人民币
898529,2018-05-23,1,5,20,2.53,人民币
898530,2018-05-22,1,5,20,2.525,人民币
898531,2018-05-21,1,5,20,2.527,人民币
898532,2018-05-18,1,5,20,2.563,人民币
901026,2018-06-05,1,5,20,2.584,人民币
901082,2018-06-06,1,5,20,2.562,人民币
901131,2018-06-07,1,5,20,2.555,人民币
901180,2018-06-08,1,5,20,2.563,人民币
901229,2018-06-11,1,5,20,2.573,人民币
901277,2018-06-12,1,5,20,2.584,人民币
901327,2018-06-13,1,5,20,2.589,人民币
901378,2018-06-14,1,5,20,2.591,人民币
901428,2018-06-15,1,5,20,2.592,人民币
901499,2018-06-19,1,5,20,2.59,人民币
901573,2018-06-20,1,5,20,2.619,人民币
901623,2018-06-21,1,5,20,2.593,人民币
901673,2018-06-22,1,5,20,2.586,人民币
901744,2018-06-25,1,5,20,2.564,人民币
901775,2018-06-26,1,5,20,2.518,人民币
901825,2018-06-27,1,5,20,2.445,人民币
901874,2018-06-28,1,5,20,2.289,人民币
901924,2018-06-29,1,5,20,2.628,人民币
902158,2018-07-09,1,5,20,1.991,人民币
902188,2018-07-10,1,5,20,2.308,人民币
902237,2018-07-11,1,5,20,2.406,人民币
902287,2018-07-12,1,5,20,2.487,人民币
902337,2018-07-13,1,5,20,2.48,人民币
902407,2018-07-16,1,5,20,2.557,人民币
902437,2018-07-17,1,5,20,2.591,人民币
902486,2018-07-18,1,5,20,2.525,人民币
902537,2018-07-19,1,5,20,2.416,人民币
902588,2018-07-20,1,5,20,2.346,人民币
902657,2018-07-23,1,5,20,2.362,人民币
902685,2018-07-24,1,5,20,2.353,人民币
902715,2018-07-25,1,5,20,2.349,人民币
902763,2018-07-26,1,5,20,2.321,人民币
902811,2018-07-27,1,5,20,2.284,人民币
902879,2018-07-30,1,5,20,2.198,人民币
902909,2018-07-31,1,5,20,2.066,人民币
902937,2018-08-01,1,5,20,2.028,人民币
902965,2018-08-02,1,5,20,1.97,人民币
902985,2018-08-03,1,5,20,1.849,人民币
903055,2018-08-06,1,5,20,1.819,人民币
903086,2018-08-07,1,5,20,1.613,人民币
903135,2018-08-09,1,5,20,1.622,人民币
903186,2018-08-10,1,5,20,1.826,人民币
903255,2018-08-13,1,5,20,2.113,人民币
903285,2018-08-14,1,5,20,2.328,人民币
903336,2018-08-24,1,5,20,2.392,人民币
903407,2018-08-27,1,5,20,2.44,人民币
903438,2018-08-28,1,5,20,2.4255,人民币
903466,2018-08-29,1,5,20,2.3895,人民币
903515,2018-08-30,1,5,20,2.277,人民币
903563,2018-08-31,1,5,20,2.309,人民币
903633,2018-09-03,1,5,20,2.277,人民币
903653,2018-09-04,1,5,20,2.195,人民币
903703,2018-09-05,1,5,20,2.164,人民币
903753,2018-09-06,1,5,20,2.494,人民币
903803,2018-09-07,1,5,20,2.591,人民币
903872,2018-09-10,1,5,20,2.573,人民币
903903,2018-09-11,1,5,20,2.59,人民币
903953,2018-09-12,1,5,20,2.557,人民币
904003,2018-09-13,1,5,20,2.53,人民币
904054,2018-09-14,1,5,20,2.489,人民币
904122,2018-09-17,1,5,20,2.466,人民币
904152,2018-09-18,1,5,20,2.654,人民币
904201,2018-09-19,1,5,20,2.562,人民币
904251,2018-09-20,1,5,20,2.519,人民币
904302,2018-09-21,1,5,20,2.514,人民币
904411,2018-09-26,1,5,20,2.553,人民币
904462,2018-09-27,1,5,20,2.46,人民币
904510,2018-09-28,1,5,20,2.445,人民币
904556,2018-09-29,1,5,20,2.073,人民币
904591,2018-09-30,1,5,20,2.653,人民币
904738,2018-10-08,1,5,20,2.536,人民币
904767,2018-10-09,1,5,20,2.502,人民币
904815,2018-10-10,1,5,20,2.398,人民币
904865,2018-10-11,1,5,20,2.36,人民币
904912,2018-10-12,1,5,20,2.439,人民币
904981,2018-10-15,1,5,20,2.377,人民币
905010,2018-10-16,1,5,20,2.373,人民币
905343,2018-10-26,1,5,20,2.067,人民币
905413,2018-10-29,1,5,20,1.852,人民币
905438,2018-10-30,1,5,20,1.566,人民币
