,date,open,close,high,low,volume,money,factor,open_interest,stkcd
214,2024-03-01,1829.702,1806.588,1840.923,1758.719,3215501.0,114914867820.0,1.0,915291.0,SA8888.XZCE
215,2024-03-08,1808.528,1929.921,1965.17,1774.003,6264803.0,237184974360.0,1.0,933181.0,SA8888.XZCE
216,2024-03-15,1928.969,1802.352,1933.683,1797.771,4608333.0,171640078760.0,1.0,1043448.0,SA8888.XZCE
217,2024-03-22,1801.03,1829.518,1886.225,1767.953,4851650.0,178238838880.0,1.0,1062126.0,SA8888.XZCE
218,2024-03-29,1819.075,1790.323,1837.913,1734.7,5025976.0,178610022400.0,1.0,1148347.0,SA8888.XZCE
219,2024-04-03,1782.764,1809.085,1844.852,1742.175,3525863.0,126797220800.0,1.0,1064410.0,SA8888.XZCE
220,2024-04-12,1820.893,1894.005,1945.7,1798.255,6056425.0,230356865200.0,1.0,1094059.0,SA8888.XZCE
221,2024-04-19,1900.165,2071.3,2134.583,1850.635,8786464.0,351835438500.0,1.0,1065240.0,SA8888.XZCE
222,2024-04-26,2069.934,2259.191,2286.113,2053.54,11171633.0,488007053020.0,1.0,1169106.0,SA8888.XZCE
223,2024-04-30,2265.848,2150.611,2277.559,2134.236,3300008.0,146926052560.0,1.0,993138.0,SA8888.XZCE
