,Unnamed: 0,date_x,open,close,high,low,volume,money,factor,open_interest,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y
31,31,2023-07-28,1594.0,1676.0,1747.0,1535.0,677318.0,22252011220.0,1.0,115622.0,SA2312.XZCE,2023,7,30,238,55,2023-07-20,85.13,56.88,,,,,2860482.0,915646.0,,,,,,85.13,,,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0
32,32,2023-08-04,1680.0,1599.0,1751.0,1582.0,542083.0,18133941100.0,1.0,165282.0,SA2312.XZCE,2023,8,31,239,56,2023-07-27,81.9,54.72,,,,,3040065.0,937232.0,,,,,,81.9,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0
33,33,2023-08-11,1598.0,1639.0,1642.0,1530.0,281414.0,8850751880.0,1.0,167443.0,SA2312.XZCE,2023,8,32,240,56,2023-08-03,79.42,54.1,1831.4,6.6,251.3,8.7,2711725.0,623546.0,,-80.358001,108.722961,-25.940925,-4.857908,79.42,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0
34,34,2023-08-18,1644.0,1744.0,1783.0,1571.0,579566.0,19425316760.0,1.0,151901.0,SA2312.XZCE,2023,8,33,241,56,2023-08-10,78.3,54.81,,,,,3243138.0,1269900.0,,,,,,78.3,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0
35,35,2023-08-25,1749.0,2100.0,2128.0,1731.0,1052005.0,41807400280.0,1.0,78261.0,SA2312.XZCE,2023,8,34,242,56,2023-08-17,79.93,55.95,,,,,3116638.0,1268814.0,,,,,,79.93,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0
36,36,2023-09-01,2101.0,2208.0,2208.0,1850.0,664678.0,26986843140.0,1.0,56668.0,SA2312.XZCE,2023,9,35,243,57,2023-08-24,81.44,57.01,,,,,2536286.0,1005584.0,,,,,,81.44,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0
37,37,2023-09-08,2189.0,1883.0,2216.0,1880.0,465522.0,19030588140.0,1.0,64188.0,SA2312.XZCE,2023,9,36,244,57,2023-08-31,81.32,56.92,2083.9,7.6,249.3,14.0,2183508.0,965547.0,,-99.00284,101.057922,-45.382582,-30.504382,81.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0
38,38,2023-09-15,1876.0,1952.0,1991.0,1856.0,181769.0,6990605720.0,1.0,48113.0,SA2312.XZCE,2023,9,37,245,57,2023-09-07,78.5,55.28,,,,,1564787.0,805230.0,,,,,,78.5,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0
39,39,2023-09-22,1946.0,1984.0,2068.0,1876.0,87028.0,3450173080.0,1.0,37950.0,SA2312.XZCE,2023,9,38,246,57,2023-09-14,83.61,61.54,,,,,1754905.0,951055.0,,,,,,83.61,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0
40,40,2023-09-28,1988.0,1852.0,2018.0,1849.0,53730.0,2078820720.0,1.0,38508.0,SA2312.XZCE,2023,9,39,247,57,2023-09-21,82.32,64.09,,,,,1657442.0,935897.0,,,,,,82.32,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0
41,41,2023-10-13,1860.0,1842.0,1892.0,1760.0,62399.0,2264251840.0,1.0,36670.0,SA2312.XZCE,2023,10,41,249,58,,,,,,,,,,,,,,,,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0
42,42,2023-10-20,1851.0,1803.0,1870.0,1792.0,42683.0,1566531060.0,1.0,31955.0,SA2312.XZCE,2023,10,42,250,58,2023-10-12,88.78,69.11,,,,,1495457.0,852497.0,,,,,,88.78,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0
43,43,2023-10-27,1803.0,1763.0,1812.0,1733.0,55496.0,1961615500.0,1.0,30977.0,SA2312.XZCE,2023,10,43,251,58,2023-10-19,90.02,70.08,,,,,1576383.0,940765.0,,,,,,90.02,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0
44,44,2023-11-03,1766.0,1861.0,1869.0,1753.0,41611.0,1510542420.0,1.0,28860.0,SA2312.XZCE,2023,11,44,252,59,2023-10-26,88.65,69.01,,,,,1543839.0,935196.0,,,,,,88.65,,,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0
45,45,2023-11-10,1868.0,2219.0,2219.0,1857.0,76679.0,3124893720.0,1.0,14628.0,SA2312.XZCE,2023,11,45,253,59,2023-11-02,87.14,67.83,2665.7,9.7,309.5,21.4,1537390.0,936580.0,,3807.580459,367.621813,-74.074714,1.982344,87.14,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0
46,46,2023-11-17,2254.0,2196.0,2375.0,2102.0,82053.0,3640010860.0,1.0,7207.0,SA2312.XZCE,2023,11,46,254,59,2023-11-09,85.34,66.43,,,,,1469105.0,865339.0,,,,,,85.34,,,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0
47,47,2023-11-24,2216.0,2637.0,2673.0,2205.0,61512.0,3082203840.0,1.0,6550.0,SA2312.XZCE,2023,11,47,255,59,2023-11-16,84.68,65.92,,,,,1076631.0,643401.0,,,,,,84.68,,,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0
48,48,2023-12-01,2650.0,2836.0,2853.0,2606.0,20268.0,1102176660.0,1.0,1440.0,SA2312.XZCE,2023,12,48,256,60,2023-11-23,88.83,69.15,,,,,1140839.0,714974.0,,,,,,88.83,,,,,,,,,,,,,,,,,,,,,
49,49,2023-12-08,2839.0,2851.0,2960.0,2800.0,1535.0,87680860.0,1.0,1300.0,SA2312.XZCE,2023,12,49,257,60,2023-11-30,84.73,65.96,2957.5,9.5,291.8,7.6,1162928.0,707524.0,,7807.79768,448.931626,-65.226739,18.633425,84.73,1.1,4.4,,,,,,,,,,,,,,,,,,,
50,50,2023-12-14,2894.0,2900.0,3179.0,2760.0,289.0,16599580.0,1.0,1027.0,SA2312.XZCE,2023,12,50,258,60,2023-12-07,85.04,66.21,,,,,1041965.0,518578.0,,,,,,85.04,,,,,,,,,,,,,,,,,,,,,
